Start Training
| epoch   1 | 10000/1202229 batches | lr 0.01 | ms/batches 74.82 | loss 10.01 | ppl 22313.13
| epoch   1 | 20000/1202229 batches | lr 0.01 | ms/batches 74.53 | loss  9.32 | ppl 11182.43
| epoch   1 | 30000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  9.44 | ppl 12533.23
| epoch   1 | 40000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  9.34 | ppl 11425.81
| epoch   1 | 50000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  9.27 | ppl 10598.40
| epoch   1 | 60000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  9.12 | ppl  9181.64
| epoch   1 | 70000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.89 | ppl  7269.10
| epoch   1 | 80000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.65 | ppl  5710.38
| epoch   1 | 90000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.49 | ppl  4854.65
| epoch   1 | 100000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.54 | ppl  5119.14
| epoch   1 | 110000/1202229 batches | lr 0.01 | ms/batches 74.46 | loss  8.55 | ppl  5166.65
| epoch   1 | 120000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.54 | ppl  5123.95
| epoch   1 | 130000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.54 | ppl  5123.88
| epoch   1 | 140000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.55 | ppl  5174.93
| epoch   1 | 150000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.55 | ppl  5184.89
| epoch   1 | 160000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.54 | ppl  5136.07
| epoch   1 | 170000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.54 | ppl  5120.48
| epoch   1 | 180000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.53 | ppl  5084.75
| epoch   1 | 190000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.52 | ppl  5034.86
| epoch   1 | 200000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.51 | ppl  4976.72
| epoch   1 | 210000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.51 | ppl  4952.02
| epoch   1 | 220000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.50 | ppl  4923.09
| epoch   1 | 230000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.41 | ppl  4500.85
| epoch   1 | 240000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.42 | ppl  4550.08
| epoch   1 | 250000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.41 | ppl  4508.51
| epoch   1 | 260000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.42 | ppl  4529.74
| epoch   1 | 270000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.40 | ppl  4428.99
| epoch   1 | 280000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.34 | ppl  4202.90
| epoch   1 | 290000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.35 | ppl  4244.88
| epoch   1 | 300000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.35 | ppl  4245.27
| epoch   1 | 310000/1202229 batches | lr 0.01 | ms/batches 74.51 | loss  8.36 | ppl  4283.66
| epoch   1 | 320000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.37 | ppl  4304.68
| epoch   1 | 330000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.37 | ppl  4297.58
| epoch   1 | 340000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.36 | ppl  4261.13
| epoch   1 | 350000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.33 | ppl  4148.73
| epoch   1 | 360000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.34 | ppl  4167.39
| epoch   1 | 370000/1202229 batches | lr 0.01 | ms/batches 74.46 | loss  8.32 | ppl  4111.96
| epoch   1 | 380000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.32 | ppl  4103.61
| epoch   1 | 390000/1202229 batches | lr 0.01 | ms/batches 74.50 | loss  8.28 | ppl  3947.90
| epoch   1 | 400000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.29 | ppl  3967.14
| epoch   1 | 410000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.28 | ppl  3932.03
| epoch   1 | 420000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.24 | ppl  3803.28
| epoch   1 | 430000/1202229 batches | lr 0.01 | ms/batches 74.46 | loss  8.22 | ppl  3706.44
| epoch   1 | 440000/1202229 batches | lr 0.01 | ms/batches 74.47 | loss  8.22 | ppl  3724.31
| epoch   1 | 450000/1202229 batches | lr 0.01 | ms/batches 74.49 | loss  8.23 | ppl  3753.01
| epoch   1 | 460000/1202229 batches | lr 0.01 | ms/batches 74.48 | loss  8.23 | ppl  3748.31
